discipline,discipline_cn,paper_n,country_cn,discipline_code,discipline_category
0401 Education,教育学,91,波兰,04,教育学
0706 Atmospheric Science,大气科学,90,波兰,07,理学
1007 Pharmaceutical Science,药学,88,波兰,10,医学
0711 Systems Science,系统科学,86,波兰,07,理学
0809 Electronic Science and Technology,电子科学与技术,85,波兰,08,工学
1009 Special Medicine,特种医学,83,波兰,10,医学
0808 Electrical Engineering,电气工程,81,波兰,08,工学
0816 Surveying and Mapping,测绘科学与技术,81,波兰,08,工学
0705 Geography,地理学,80,波兰,07,理学
1202 Business Administration,工商管理,78,波兰,12,管理学
0815 Hydraulic Engineering,水利工程,74,波兰,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,73,波兰,08,工学
0833 Urban and Rural Planning,城乡规划学,66,波兰,08,工学
0823 Transportation Engineering,交通运输工程,60,波兰,08,工学
1204 Public Administration,公共管理,58,波兰,12,管理学
0303 Sociology,社会学,54,波兰,03,法学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,52,波兰,08,工学
0813 Architecture,建筑学,49,波兰,08,工学
1205 Library and Information Science & Archive Management,图书情报与档案管理,48,波兰,12,管理学
0819 Mining Engineering,矿业工程,45,波兰,08,工学
0837 Safety Science and Engineering,安全科学与工程,39,波兰,08,工学
1003 Stomatology,口腔医学,39,波兰,10,医学
0901 Crop Science,作物学,37,波兰,09,农学
0301 Law,法学,36,波兰,03,法学
0712 History of Science and Technology,科学技术史,35,波兰,07,理学
0828 Agricultural Engineering,农业工程,35,波兰,08,工学
0907 Forestry,林学,34,波兰,09,农学
0826 Armament Science and Technology,兵器科学与技术,33,波兰,08,工学
0707 Marine Science,海洋科学,32,波兰,07,理学
0503 Journalism and Communication,新闻传播学,30,波兰,05,文学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,28,波兰,09,农学
0601 Archaeology,考古学,24,波兰,06,历史学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,24,波兰,08,工学
0905 Animal Science,畜牧学,24,波兰,09,农学
0101 Philosophy,哲学,23,波兰,01,哲学
0906 Veterinary Medicine,兽医学,23,波兰,09,农学
1008 Chinese Materia Medica,中药学,23,波兰,10,医学
0302 Political Science,政治学,21,波兰,03,法学
0403 Physical Education and Sport Science,体育学,20,波兰,04,教育学
0822 Light Industry Technology and Engineering,轻工技术与工程,20,波兰,08,工学
0202 Applied Economics,应用经济学,17,波兰,02,经济学
0603 World History,世界史,17,波兰,06,历史学
0904 Plant Protection,植物保护,15,波兰,09,农学
1302 Music and Dance,音乐与舞蹈学,15,波兰,13,艺术学
0201 Theoretical Economics,理论经济学,10,波兰,02,经济学
0821 Textile Science and Engineering,纺织科学与工程,9,波兰,08,工学
0908 Fisheries,水产,9,波兰,09,农学
0839 Cyberspace Security,网络空间安全,7,波兰,08,工学
0304 Ethnology,民族学,3,波兰,03,法学
0902 Horticulture,园艺学,3,波兰,09,农学
0909 Grassland Science,草学,3,波兰,09,农学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,3,波兰,12,管理学
0834 Landscape Architecture,风景园林学,2,波兰,08,工学
0829 Forestry Engineering,林业工程,1,波兰,08,工学
1011 Nursing,护理学,1,波兰,10,医学
1303 Drama Film and Television,戏剧与影视学,1,波兰,13,艺术学
0702 Physics,物理学,756,爱沙尼亚,07,理学
